"obs","InvEventFK","InvCount","InvName","sitetaxa","newtaxa","sing_doub","uniq_dup"
"128",4128,"CBay13_0009",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"129",4169,"CBay13_0269",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"130",4218,"CBay13_0034",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"131",4229,"CBay13_0277",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"132",4319,"CBay13_0018",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"133",4349,"CBay13_0024",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"134",4354,"CBay13_0268",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"135",4422,"CBay13_1605",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"136",4441,"CBay13_0168",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"137",4693,"CBay13_1598",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"138",4705,"CBay13_1578",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"139",4737,"CBay13_0149",3,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"140",4833,"CBay13_0042",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"141",4925,"CBay13_0244",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"142",4932,"CBay13_0417",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"143",4944,"CBay13_0101",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"144",4966,"CBay13_0102",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"145",4968,"CBay13_0084",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"146",4985,"CBay13_0152",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"147",4998,"CBay13_0016",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"148",5002,"CBay13_0104",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"149",5023,"CBay13_1634",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"150",5060,"CBay13_0296",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"151",5125,"CBay13_0015",4,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"152",5237,"CBay13_0023",5,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"153",5261,"CBay13_0115",5,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"154",5324,"CBay13_0013",5,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"155",5458,"CBay13_0143",5,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"156",5525,"CBay13_1640",5,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"157",5562,"CBay13_1622",5,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"158",5577,"CBay13_0091",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"159",5579,"CBay13_0045",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"160",5588,"CBay13_0087",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"161",5649,"CBay13_0404",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"162",5674,"CBay13_0318",6,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
